Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Korea,725.774,860.333,886.299,973.543,1032.377,1134.522,1277.798,1433.615,1556.164,1686.237,1878.762,1966.703,2071.544,2128.839,2231.69,2490.499,2660.792,2809.25,3085.18,3384.158
Latvia,463.861,552.168,630.846,637.55,796.379,839.732,938.093,1084.409,1118.349,1009.243,1075.704,1077.556,1156.181,1229.691,1286.479,1405.018,1613.746,1679.834,1856.485,1972.572
Lithuania,573.967,605.93,711.866,816.457,789.375,885.726,1010.275,1158.619,1347.21,1326.346,1371.117,1484.753,1567.989,1662.577,1781.682,1917.581,2097.717,2235.942,2385.085,2638.133
Luxembourg,3409.737,3712.502,4248.808,4411.173,4775.922,4881.401,5150.267,5084.628,5431.112,5723.837,5622.639,4830.517,4424.504,4636.665,4707.036,4693.501,4864.116,5012.604,5216.284,5558.322
Mexico,517.3,567.423,600.49,688.517,767.567,771.596,821.74,869.968,899.877,913.125,931.359,942.155,1003.869,1025.272,998.577,1067.229,1084.536,1118.972,1144.895,1153.581
Netherlands,2646.178,2881.585,3296.964,3308.579,3494.654,3583.454,3826.969,4075.338,4378.383,4444.22,4472.608,4567.357,4782.366,4923.877,4934.583,4928.366,5075.476,5263.825,5436.287,5765.098
New Zealand,1659.47,1797.681,1920.964,1916.357,2077.407,2194.439,2438.053,2538.799,2829.765,2951.423,3044.547,3132.309,3240.034,3388.248,3500.134,3521.113,3762.696,3820.417,4024.552,4203.989
Norway,2792.453,2936.822,3389.226,3447.643,3655.544,3740.873,3963.457,4310.143,4604.504,4686.897,4775.054,4965.184,5209.577,5485.874,5707.377,5728.329,5904.031,6075.474,6283.17,6646.713
Poland,603.857,668.022,774.069,781.512,837.506,834.605,902.741,1050.531,1222.748,1315.59,1422.788,1496.615,1578.599,1670.783,1687.056,1819.343,1959.032,2069.561,2113.702,2292.146
Portugal,1599.607,1665.278,1792.284,1876.071,2035.069,2135.366,2186.817,2253.143,2386.065,2457.219,2528.75,2408.055,2345.629,2417.038,2450.887,2540.072,2822.462,2922.416,3097.301,3378.627
Slovak Republic,690.147,758.472,868.625,876.501,1100.622,1191.447,1341.677,1583.82,1687.058,1813.469,2010.377,1974.761,2097.401,2153.698,2010.11,2059.654,2039.544,2048.386,2142.079,2353.645
Slovenia,1463.358,1553.153,1736.558,1786.251,1857.767,1900.012,1985.122,2065.24,2297.536,2271.164,2318.439,2376.637,2431.003,2495.279,2499.108,2579.937,2738.131,2853.329,3054.586,3224.02
Spain,1523.356,1634.735,1803.5,2015.048,2123.21,2212.475,2392.496,2483.685,2671.815,2749.88,2736.212,2734.131,2728.978,2764.267,2858.067,3020.475,3148.718,3322.37,3429.798,3616.459
Sweden,2195.058,2397.827,2636.406,2674.776,2771.639,2809.376,3006.077,3222.236,3414.353,3460.46,3432.854,4461.676,4679.801,4731.449,4865.571,5002.138,5121.772,5318.124,5433.728,5782.292
Switzerland,3324.741,3552.422,3887.068,3914.894,4107.913,4106.058,4231.403,4595.574,4905.058,5071.357,5086.992,5259.579,5565.318,5923.914,6158.683,6467.527,6807.813,7037.022,7279.792,7732.412
Turkey,431.839,472.595,519.978,509.682,558.574,588.128,677.662,733.085,807.052,817.024,843.265,888.309,894.741,947.74,1006.772,1040.373,1128.718,1187.518,1223.568,1339.511
United Kingdom,1915.689,2134.564,2383.648,2505.796,2768.926,2772.707,2969.568,3109.919,3241.823,3315.24,3430.8,3496.911,3638.662,3694.482,3779.797,3828.277,3989.966,4126.347,4289.787,4653.058
United States,4557.151,4908.715,5326.081,5735.513,6094.191,6443.258,6806.912,7157.338,7395.885,7669.631,7922.199,8131.466,8404.937,8610.599,9034.169,9498.288,9880.156,10212.748,10637.142,11071.715
