"Census.Tract","CES.3.0.Score","Total.Population","California.County","Hispanic....","White....","African.American....","Native.American....","Asian.American....","Other....","ZIP","Longitude","Latitude","Ozone","PM2.5","Diesel.PM","Drinking.Water","Pesticides","Tox..Release","Traffic","Cleanup.Sites","Groundwater.Threats","Haz..Waste","Imp..Water.Bodies","Solid.Waste","Pollution.Burden","Asthma","Low.Birth.Weight","Poverty","Unemployment"
6029000101,47.74,12240,"Kern ",19.1,74.2,0.8,1,2.7,2.2,93308,-119.0511858,35.4411814,0.062,18.76,21.556,485.01,137.6,87.70489136,512.29,31.7,80.15,11.445,0,2,64.62,80.97,5.32,30.4,8.7
6059074300,47.71,4392,"Orange ",96,2.6,0.1,0.1,1,0.2,92707,-117.8602323,33.7196057,0.046,10.37,21.41,377.39,0,40097.69552,959.76,68.05,75.65,1.085,0,1.25,56.97,44.68,6.27,49.2,9.5
6037221304,47.69,3319,"Los Angeles",54.1,3.2,22.7,0.2,18.5,1.3,90019,-118.3146461,34.045362,0.048,12.89,29.76,664.07,0,2786.822426,1113.63,4.5,0,0.01,0,0,47.4,66.41,6.02,65.1,13
6037532101,47.66,6663,"Los Angeles",93.5,3.5,0.4,0.4,2,0.2,90640,-118.1062505,34.0048535,0.046,12.05,17.21,303.02,0.18,9903.76925,805,5.9,6.9,0.05,2,1.65,49.68,54.54,6.2,57.1,6.8
6037237600,47.66,4259,"Los Angeles",75.5,0.8,21.9,0.1,0.4,1.2,90044,-118.283872,33.9785135,0.046,12.05,26.33,664.07,0,4384.725081,4909.84,1.1,3,0,0,0,47.5,90.39,5.47,70.5,9.9
6039000800,47.65,7027,"Madera ",81.2,14.1,2.2,0.7,0.8,1,93637,-120.0616242,36.9597277,0.062,12.05,17.911,326.09,0.29,3526.958288,580.47,13.1,10.5,0.06,0,0,48.68,94.46,5.33,72.8,6.5
6059089004,47.63,7011,"Orange ",62.3,7.2,0.7,0.1,28.8,0.9,92703,-117.9245717,33.7524445,0.046,11.21,15.88,376.63,1.18,21749.33527,875.26,7.1,7,0.11,0,2,51.23,50.82,6.05,57.8,11.6
6073011602,47.62,3228,"San Diego",78.4,8.4,3.8,0.2,8,1.1,91950,-117.0941732,32.6599903,0.04,11.21,60.33,267.03,0,566.9437924,547.95,9.75,7.6,0.25,2,4.6,46.92,79.8,6.36,63.8,9.8
6065042513,47.62,3379,"Riverside ",63.5,17.6,10.2,0.1,6.2,2.4,92553,-117.2569855,33.9345424,0.065,12.89,22.822,747.77,0,764.5123952,1447.87,0.9,10,0,0,0,50.47,75.3,7.14,51.2,9.4
6037601302,47.6,6856,"Los Angeles",25.8,3.6,65.7,0.2,1.4,3.3,90302,-118.3644426,33.9692979,0.046,12.05,22.65,172.72,0,2555.168722,2061.59,9.45,23.3,1.01,0,7.7,56.56,93.44,5.73,40.7,16.5
6071006700,47.6,4486,"San Bernardino",88.5,7.7,1.8,0.1,0.8,1.1,92324,-117.3219438,34.083291,0.065,12.47,28.59,671.64,0,957.947091,283.63,8.75,0,0.1,1,0.6,48.61,93.92,4.17,67.9,15.2
6037294421,47.6,2950,"Los Angeles",70.9,8.7,6.6,0.1,12,1.6,90710,-118.2975664,33.790373,0.042,11.21,20.399,442.05,0,8249.535655,955.34,15,6.5,5.775,12,4.5,59.44,52.31,3.44,60.9,11.3
6077002504,47.59,3982,"San Joaquin",49.1,7.4,12.5,0.1,27.8,3.2,95206,-121.3103842,37.9244359,0.048,11.63,24.13,278.76,72.83,1554.599361,447.37,0.9,10,0.035,14,0.8,51.08,128.15,5.32,49.1,10.9
6037104610,47.59,3672,"Los Angeles",97.3,1.4,0.4,0.2,0.5,0.3,91331,-118.4189927,34.2604355,0.055,11.21,22.449,618.05,0,698.2839237,828.15,19.75,2.5,0.135,0,0.7,49.25,73.79,5.51,55.9,11.2
6037481500,47.58,4361,"Los Angeles",18.8,8.6,0.4,0,70.9,1.2,91801,-118.1127509,34.0822256,0.05,11.63,22.351,856.39,0,5532.808191,2508.81,17.2,17.4,0.11,0,5,62.72,34.4,8.43,45.3,8.1
6037190401,47.57,3135,"Los Angeles",21.6,59.4,4.3,0.4,10.8,3.6,90027,-118.3027866,34.1035718,0.05,12.89,36.19,664.07,0,2472.22141,1117.24,0.9,0.75,0.16,0,0,49.53,51.93,7.04,45.9,14.2
6037218702,47.57,2176,"Los Angeles",53.8,3.4,37.7,0.1,2.7,2.3,90018,-118.3337765,34.0334074,0.046,12.47,25.9,664.07,0,2431.521252,4697.99,1.6,0.75,0,0,0.5,47.27,82.72,7.04,59.3,21.2
6037406702,47.56,5823,"Los Angeles",61.2,13.7,4,0.3,19.1,1.7,91790,-117.9382452,34.0659535,0.053,11.21,20.195,811.58,0,10656.96687,1526.98,12,2,0.075,3,0,55.17,50.41,6,37.1,17.6
6019007300,47.54,4869,"Fresno ",55.9,30,0.6,0.4,11.1,2.1,93662,-119.6917634,36.5344594,0.065,15.82,8.309,852.58,2732.87,504.7746487,248.95,14,7,0.125,0,4,59.82,75.89,3.42,57.4,12.4
6001401800,47.54,1703,"Alameda ",19.3,15,57.4,0.3,3.3,4.6,94607,-122.298236,37.809532,0.03,8.69794377,76.11,70.6,0,330.9753226,180.13,87.45,70.3,2.69,10,10.5,48.99,165.52,8.3,61.7,20
